the	các
museum	bảo tàng
themselves	chúng tôi
fan	cái quạt
transport	chuyên chở
interesting	hấp dẫn
blogs	blog
wife	vợ
evaluation	sự đánh giá
accepted	Đã được chấp nhận
former	trước
implementation	thực hiện
ten	mười
hits	lượt truy cập
zone	vùng
complex	tổ hợp
th	quần què
cat	con mèo
galleries	phòng trưng bày
references	người giới thiệu
die	chết
presented	trình bày
jack	giắc cắm
flat	phẳng
flow	chảy
agencies	cơ quan
literature	văn học
respective	tương ứng
parent	cha mẹ
spanish	người Tây Ban Nha
columbia	Colombia
setting	cài đặt
doctor	bác sĩ
scale	tỉ lệ
stand	đứng
economy	kinh tế
highest	cao nhất
helpful	hữu ích
monthly	hàng tháng
critical	phê bình
frame	khung
musical	âm nhạc
definition	sự định nghĩa
secretary	thư ký
angeles	thiên thần
networking	mạng
path	con đường
australian	người Úc
employee	người lao động
chief	người đứng đầu
gives	cho
bottom	đáy
magazines	tạp chí thời sự
packages	gói
detail	chi tiết
laws	pháp luật
changed	đã thay đổi
pet	thú cưng
heard	đã nghe
begin	bắt đầu
individuals	cá nhân
royal	hoàng gia
clean	lau dọn
switch	công tắc
russian	tiếng Nga
largest	lớn nhất
african	Người châu Phi
guy	chàng trai
titles	danh hiệu
relevant	liên quan
guidelines	hướng dẫn
justice	Sự công bằng
connect	kết nối
bible	kinh thánh
dev	nhà phát triển
cup	tách
basket	rổ
applied	áp dụng
weekly	hàng tuần
vol	tập
installation	cài đặt
described	mô tả
demand	yêu cầu
page	trang
suite	Thượng hạng
nah	không có
square	quảng trường
attention	chú ý
advance	nâng cao
skip	nhảy
diet	ăn kiêng
army	quân đội
auction	bán đấu giá
gear	bánh răng
os	hệ điều hành
difference	sự khác biệt
allowed	cho phép
correct	Chính xác
nation	Quốc gia
selling	bán
lots	rất nhiều
piece	cái
sheet	tờ giấy
firm	vững chãi
seven	bảy
older	lớn hơn
regulations	quy định
elements	yếu tố
species	giống loài
jump	nhảy
cells	tế bào
module	mô-đun
resort	khu nghỉ mát
facility	cơ sở
random	ngẫu nhiên
pricing	định giá
dvds	DVD
certificate	giấy chứng nhận
minister	bộ trưởng, mục sư
motion	cử động
looks	nhìn
fashion	thời trang
directions	hướng
visitors	khách
documentation	tài liệu
monitor	màn hình
trading	thương mại
forest	rừng
calls	cuộc gọi
whose	của ai
coverage	phủ sóng
couple	cặp đôi
giving	cho đi
chance	cơ hội
vision	tầm nhìn
ball	quả bóng
ending	kết thúc
clients	khách hàng
actions	hành động
listen	Nghe
discuss	bàn luận
accept	chấp nhận
automotive	ô tô
naked	khỏa thân
goal	mục tiêu
successful	thành công
sold	đã bán
wind	gió
communities	cộng đồng
clinical	lâm sàng
situation	tình huống
sciences	khoa học
markets	thị trường
lowest	thấp nhất
highly	đánh giá cao
publishing	xuất bản
appear	xuất hiện
emergency	khẩn cấp
developing	đang phát triển
lives	cuộc sống
currency	tiền tệ
leather	da thú
determine	quyết tâm
milf	SỮA
temperature	nhiệt độ
palm	lòng bàn tay
announcements	thông báo
patient	kiên nhẫn
actual	thật sự
historical	lịch sử
stone	cục đá
commerce	thương mại
ringtones	nhạc chuông
perhaps	có lẽ
persons	người
difficult	khó
scientific	có tính khoa học
satellite	vệ tinh
fit	phù hợp
tests	kiểm tra
village	làng bản
accounts	tài khoản
amateur	nghiệp dư
ex	bán tại
met	gặp
pain	nỗi đau
particularly	cụ thể
factors	các nhân tố
coffee	cà phê
settings	cài đặt
cum	kiêm
buyer	người mua
cultural	thuộc văn hóa
easily	một cách dễ dàng
oral	miệng
poster	áp phích
edge	bờ rìa
functional	chức năng
root	nguồn gốc
closed	đóng cửa
holidays	ngày lễ
ice	đá
pink	hồng
balance	THĂNG BẰNG
monitoring	giám sát
graduate	tốt nghiệp
replies	câu trả lời
shot	bắn
architecture	ngành kiến trúc
initial	ban đầu
label	nhãn
thinking	Suy nghĩ
sec	giây
recommend	gợi ý
canon	kinh điển
hardcore	khó tính
league	liên đoàn
waste	rác thải
minute	phút
bus	xe buýt
provider	các nhà cung cấp
optional	không bắt buộc
dictionary	từ điển
cold	lạnh lẽo
accounting	kế toán
manufacturing	chế tạo
sections	phần
chair	cái ghế
fishing	đánh bắt cá
effort	cố gắng
phase	giai đoạn
fields	lĩnh vực
bag	cái túi
fantasy	tưởng tượng
letters	bức thư
motor	động cơ
professor	giáo sư
context	bối cảnh
install	cài đặt
shirt	áo sơ mi
apparel	may mặc
generally	nói chung là
continued	tiếp tục
foot	chân
mass	khối
crime	tội phạm
count	đếm
breast	nhũ hoa
techniques	kỹ thuật
quickly	nhanh
dollars	USD
websites	các trang web
religion	tôn giáo
claim	khẳng định
driving	điều khiển
permission	sự cho phép
surgery	ca phẫu thuật
patch	vá
heat	nhiệt
wild	hoang dã
measures	đo
generation	thế hệ
miss	cô
chemical	hóa chất
doctor	bác sĩ
task	nhiệm vụ
reduce	giảm bớt
brought	đem lại
himself	bản thân anh ấy
nor	cũng không
component	thành phần
enable	cho phép
exercise	bài tập
bug	sâu bọ
santa	ông già Noel
mid	giữa
guarantee	bảo đảm
leader	lãnh đạo
diamond	kim cương
processes	quy trình
soft	mềm mại
servers	may chủ
alone	một mình
meetings	các cuộc họp
seconds	giây
keyword	từ khóa
interests	sở thích
flight	chuyến bay
congress	Hội nghị
fuel	nhiên liệu
username	tên tài khoản
walk	đi bộ
fuck	chết tiệt
produced	sản xuất
italian	người Ý
paperback	bìa mềm
classifieds	rao vặt
wait	Chờ đợi
supported	được hỗ trợ
pocket	túi
saint	thánh nhân
rose	hoa hồng
freedom	tự do
argument	lý lẽ
competition	cuộc thi
creating	tạo ra
drugs	thuốc
joint	chung
premium	phần thưởng
providers	nhà cung cấp
fresh	tươi
characters	nhân vật
attorney	luật sư
upgrade	nâng cấp
factor	nhân tố
growing	phát triển
thousands	hàng ngàn
stream	suối
apartments	căn hộ
pick	nhặt
hearing	thính giác
eastern	phương Đông
auctions	đấu giá
therapy	trị liệu
entries	mục
dates	ngày
generated	tạo ra
signed	đã ký
upper	phía trên
administrative	hành chính
serious	nghiêm trọng
prime	xuất sắc
limit	giới hạn
began	đã bắt đầu
steps	bước
errors	lỗi
shops	cửa hàng
bondage	sự trói buộc
efforts	nỗ lực
informed	nắm được tin tức
thoughts	suy nghĩ
creek	Lạch nhỏ
worked	đã làm việc
quantity	Số lượng
urban	đô thị
practices	thực hành
sorted	sắp xếp
reporting	Báo cáo
essential	thiết yếu
myself	riêng tôi
tours	chuyến du lịch
platform	nền tảng
load	trọng tải
affiliate	liên kết
labor	nhân công
immediately	ngay lập tức
admin	quản trị viên
nursing	điều dưỡng
defense	phòng thủ
machines	máy móc
designated	được chỉ định
tags	thẻ
heavy	nặng
covered	đề cập
recovery	sự hồi phục
guys	các bạn
integrated	tích hợp
configuration	cấu hình
cock	gà trống
merchant	thương gia
comprehensive	toàn diện
expert	chuyên gia
universal	phổ quát
protect	bảo vệ
drop	làm rơi
solid	chất rắn
cds	băng đĩa
presentation	bài thuyết trình
languages	ngôn ngữ
became	đã trở thành
orange	quả cam
compliance	Tuân thủ
vehicles	xe cộ
prevent	ngăn chặn
theme	chủ đề
rich	giàu có
im	Tôi
campaign	chiến dịch
marine	hàng hải
improvement	sự cải tiến
guitar	đàn ghi ta
finding	Phát hiện
examples	ví dụ
saying	nói
spirit	tinh thần
claims	yêu sách
porno	khiêu dâm
challenge	thử thách
acceptance	chấp thuận
strategies	chiến lược
seem	có vẻ
affairs	chuyện
touch	chạm
intended	dự định
towards	đối với
goals	bàn thắng
hire	Thuê
election	cuộc bầu cử
suggest	gợi ý
branch	chi nhánh
charges	phí
serve	phục vụ
affiliates	chi nhánh
reasons	lý do
magic	ảo thuật
mount	gắn kết
smart	thông minh
talking	đang nói
gave	đã đưa cho
ones	những cái
multimedia	đa phương tiện
tits	ngực
avoid	tránh xa
certified	được chứng nhận
manage	quản lý
corner	góc
rank	thứ hạng
computing	tin học
element	yếu tố
birth	Sinh
virus	vi-rút
abuse	lạm dụng
interactive	tương tác
requests	yêu cầu
separate	chia
quarter	một phần tư
procedure	thủ tục
leadership	Khả năng lãnh đạo
tables	những cái bàn
define	định nghĩa
racing	cuộc đua
religious	tôn giáo
facts	sự thật
breakfast	bữa sáng
column	cột
plants	thực vật
faith	sự tin tưởng
chain	xích
developer	nhà phát triển
identify	nhận dạng
avenue	đại lộ
missing	mất tích
died	chết
approximately	khoảng
domestic	nội địa
sitemap	sơ đồ trang web
recommendations	khuyến nghị
moved	đã di chuyển
houston	houston
reach	với tới
comparison	so sánh
mental	tâm thần
viewed	đã xem
moment	chốc lát
extended	mở rộng
sequence	sự liên tiếp
inch	inch
attack	tấn công
sorry	Xin lỗi
centers	trung tâm
opening	khai mạc
damage	hư hại
lab	phòng thí nghiệm
reserve	dự trữ
recipes	công thức nấu ăn
gamma	gamma
plastic	nhựa
produce	sản xuất
snow	tuyết
placed	đặt
truth	sự thật
counter	quầy tính tiền
failure	sự thất bại
follows	theo sau
weekend	ngày cuối tuần
dollar	đô la
camp	trại
automatically	tự động
films	phim
bridge	cầu
native	tự nhiên
fill	đổ đầy
movement	sự chuyển động
printing	in ấn
baseball	bóng chày
owned	sở hữu
approval	sự chấp thuận
draft	bản nháp
chart	đồ thị
played	chơi
contacts	liên lạc
readers	độc giả
clubs	câu lạc bộ
lcd	màn hình LCD
equal	bình đẳng
adventure	cuộc phiêu lưu
matching	khớp
offering	chào bán
shirts	Áo sơ mi
profit	lợi nhuận
leaders	lãnh đạo
posters	áp phích
institutions	thể chế
assistant	trợ lý
variable	Biến đổi
advertisement	quảng cáo
expect	trông chờ
parking	bãi đậu xe
headlines	tiêu đề
yesterday	Hôm qua
compared	so
determined	xác định
wholesale	bán sỉ
workshop	xưởng
russia	Nga
gone	đi mất
codes	mã
kinds	các loại
extension	sự mở rộng
statements	các câu lệnh
golden	vàng
completely	hoàn toàn
teams	đội
fort	pháo đài
lighting	thắp sáng
senate	Thượng nghị viện
forces	lực lượng
funny	buồn cười
brother	anh trai
gene	gen
turned	quay
portable	cầm tay
tried	đã thử
electrical	điện
applicable	áp dụng
disc	đĩa
returned	trả lại
pattern	mẫu
hentai	hoạt
boat	thuyền
named	đặt tên
theatre	nhà hát
laser	tia laze
earlier	sớm hơn
manufacturers	Nhà sản xuất của
sponsor	nhà tài trợ
classical	cổ điển
icon	biểu tượng
warranty	sự bảo đảm
dedicated	tận tụy
direction	phương hướng
basketball	bóng rổ
objects	các đối tượng
ends	kết thúc
delete	xóa bỏ
evening	buổi tối
assembly	cuộc họp
nuclear	hạt nhân
taxes	thuế
mouse	chuột
signal	tín hiệu
criminal	tội phạm
issued	cấp
brain	não
sexual	tình dục
powerful	mạnh mẽ
dream	mơ
obtained	thu được
false	SAI
cast	dàn diễn viên
flower	hoa
felt	cảm thấy
personnel	nhân viên
passed	đi qua
supplied	cung cấp
identified	xác định
falls	ngã
pic	bức ảnh
soul	linh hồn
aids	AIDS
opinions	ý kiến
promote	khuyến khích
stated	đã nêu
stats	số liệu thống kê
professionals	chuyên gia
appears	xuất hiện
carry	mang
flag	lá cờ
decided	quyết định
covers	bao gồm
hour	giờ
advantage	lợi thế
hello	Xin chào
designs	thiết kế
maintain	duy trì
tourism	du lịch
priority	sự ưu tiên
newsletters	bản tin
adults	người lớn
clips	clip
savings	tiết kiệm
graphic	đồ họa
atom	nguyên tử
payments	thanh toán
estimated	ước lượng
binding	ràng buộc
brief	ngắn gọn
ended	đã kết thúc
winning	chiến thắng
eight	tám
anonymous	vô danh
iron	sắt
straight	thẳng
script	kịch bản
served	phục vụ
wants	muốn
miscellaneous	Điều khoản khác
prepared	chuẩn bị
void	trống rỗng
dining	ăn uống
alert	báo động
integration	hội nhập
tag	nhãn
interview	phỏng vấn
mix	pha trộn
framework	khuôn khổ
disk	đĩa
installed	Cài đặt
queen	nữ hoàng
credits	tín dụng
clearly	rõ ràng
fix	sửa chữa
handle	xử lý
sweet	ngọt
desk	bàn làm việc
criteria	tiêu chuẩn
pubmed	đã xuất bản
hong	hồng
vice	hành vi xấu xa
associate	kết hợp
truck	xe tải
behavior	hành vi
enlarge	phóng to
ray	cá đuối
frequently	thường xuyên
revenue	doanh thu
measure	đo lường
changing	thay đổi
votes	phiếu bầu
du	bạn
duty	nhiệm vụ
looked	nhìn
discussions	thảo luận
bear	con gấu
gain	nhận được
festival	lễ hội
laboratory	phòng thí nghiệm
ocean	đại dương
flights	chuyến bay
experts	Các chuyên gia
signs	dấu hiệu
lack	thiếu
depth	chiều sâu
iowa	Iowa
whatever	bất cứ điều gì
logged	đã đăng nhập
laptop	máy tính xách tay
vintage	cổ điển
train	xe lửa
exactly	chính xác
dry	khô
explore	khám phá
spa	spa
concept	ý tưởng
nearly	gần như
eligible	đạt chuẩn
checkout	Thủ tục thanh toán
reality	thực tế
forgot	quên
handling	sự điều khiển
origin	nguồn gốc
knew	biết
gaming	chơi game
feeds	nguồn cấp dữ liệu
billion	tỷ
destination	điểm đến
scotland	Scotland
faster	nhanh hơn
intelligence	Sự thông minh
bought	mua
con	lừa đảo
ups	thăng cấp
nations	quốc gia
route	tuyến đường
followed	đã theo dõi
specifications	thông số kỹ thuật
broken	vỡ
tripadvisor	cố vấn ba chuyến
frank	thẳng thắn
zoom	phóng
blow	thổi
battle	trận đánh
residential	khu dân cư
anime	phim hoạt hình
speak	nói chuyện
decisions	quyết định
industries	các ngành nghề
protocol	giao thức
query	truy vấn
clip	kẹp
partnership	quan hệ đối tác
editorial	biên tập
expression	sự biểu lộ
equity	công bằng
provisions	điều khoản
speech	lời nói
wire	dây điện
principles	Nguyên tắc
suggestions	gợi ý
rural	nông thôn
shared	đã chia sẻ
sounds	âm thanh
replacement	thay thế
tape	băng
strategic	chiến lược
judge	phán xét
spam	thư rác
economics	Kinh tế học
acid	axit
bytes	byte
cent	xu
forced	bị ép
compatible	tương thích
fight	trận đánh
apartment	căn hộ
height	chiều cao
null	vô giá trị
zero	số không
speaker	loa
filed	nộp
obtain	đạt được
consulting	tư vấn
recreation	giải trí
offices	văn phòng
designer	nhà thiết kế
remain	duy trì
managed	được quản lý
failed	thất bại
marriage	kết hôn
roll	cuộn
korea	Hàn Quốc
banks	ngân hàng
friend	bạn
participants	những người tham gia
secret	bí mật
bath	bồn tắm
leads	dẫn
negative	tiêu cực
favorites	yêu thích
theater	nhà hát
springs	lò xo
perform	trình diễn
healthy	khỏe mạnh
translation	dịch
estimates	ước tính
font	nét chữ
assets	tài sản
injury	chấn thương
ton	tấn
ministry	Bộ
drivers	trình điều khiển
lawyer	luật sư
figures	số liệu
married	đã cưới
protected	được bảo vệ
proposal	đề xuất
sharing	chia sẻ
portal	cổng thông tin
waiting	chờ
birthday	sinh nhật
beta	phiên bản beta
fail	thất bại
gratis	miễn phí
banking	ngân hàng
officials	quan chức
toward	theo hướng
won	thắng
slightly	nhẹ nhàng
assist	hỗ trợ
conduct	chỉ đạo
contained	chứa đựng
lingerie	đồ lót
shemale	chuyển giới
legislation	pháp luật
calling	đang gọi điện
parameters	thông số
serving	phục vụ
bags	túi
profiles	hồ sơ
comics	truyện tranh
matters	vấn đề
houses	nhà ở
doc	bác sĩ
postal	Thuộc về bưu điện
relationships	các mối quan hệ
wear	mặc
controls	điều khiển
breaking	phá vỡ
combined	kết hợp
ultimate	tối thượng
representative	tiêu biểu
frequency	Tính thường xuyên
introduced	được giới thiệu
minor	người vị thành niên
finish	hoàn thành
departments	phòng ban
residents	cư dân
noted	ghi nhận
displayed	hiển thị
mom	mẹ
reduced	giảm
physics	vật lý
rare	hiếm
spent	đã tiêu
performed	thực hiện
extreme	vô cùng
samples	mẫu
bars	thanh
reviewed	đã xem xét
row	hàng ngang
forecast	dự báo
removed	LOẠI BỎ
helps	giúp
singles	người độc thân
administrator	người quản lý
cycle	xe đạp
amounts	lượng
contain	bao gồm
accuracy	sự chính xác
dual	hai
rise	tăng lên
usd	đô la Mỹ
sleep	ngủ
bird	chim
pharmacy	tiệm thuốc
brazil	Brazil
creation	sự sáng tạo
static	tĩnh
scene	bối cảnh
hunter	thợ săn
addresses	địa chỉ
lady	quý bà
crystal	pha lê
famous	nổi tiếng
writer	nhà văn
chairman	Chủ tịch
violence	bạo lực
fans	người hâm mộ
speakers	diễn giả
drink	uống
academy	học viện
dynamic	năng động
gender	giới tính
eat	ăn
permanent	Vĩnh viễn
agriculture	nông nghiệp
cleaning	làm sạch
constitutes	cấu thành
portfolio	danh mục đầu tư
practical	thực tế
delivered	đã giao hàng
collectibles	đồ sưu tầm
infrastructure	cơ sở hạ tầng
exclusive	loại trừ
seat	ghế
concerns	mối quan tâm
colour	màu sắc
vendor	người bán
originally	ban đầu
intel	thông tin
utilities	tiện ích
philosophy	triết lý
regulation	quy định
officers	sĩ quan
reduction	sự giảm bớt
aim	mục tiêu
bids	giá thầu
referred	được giới thiệu
supports	hỗ trợ
nutrition	dinh dưỡng
recording	ghi âm
regions	vùng
junior	nhỏ
toll	số điện thoại
les	tập tin
cape	mũi
rings	Nhẫn
meaning	nghĩa
tip	mẹo
secondary	sơ trung
wonderful	tuyệt vời
mine	của tôi
ladies	quý cô
ticket	vé
announced	công bố
guess	đoán
agreed	đã đồng ý
prevention	Phòng ngừa
whom	ai
ski	trượt tuyết
soccer	bóng đá
math	toán học
import	nhập khẩu
posting	đăng bài
presence	sự hiện diện
instant	lập tức
mentioned	được nhắc đến
automatic	tự động
healthcare	chăm sóc sức khỏe
viewing	đang xem
maintained	duy trì
increasing	tăng dần
majority	số đông
connected	đã kết nối
dogs	chó
directors	đạo diễn
aspects	các khía cạnh
ahead	phía trước
moon	mặt trăng
participation	sự tham gia
scheme	cơ chế
utility	tính thiết thực
preview	xem trước
fly	bay
manner	thái độ
matrix	ma trận
containing	chứa đựng
combination	sự kết hợp
develop	phát triển
amendment	sửa đổi
despite	cho dù
strength	sức mạnh
guaranteed	đảm bảo
libraries	thư viện
proper	thích hợp
distributed	phân phối
degrees	độ
enterprises	doanh nghiệp
delta	đồng bằng
fear	nỗi sợ
seeking	đang tìm kiếm
inches	inch
phoenix	Phượng Hoàng
convention	quy ước
shares	cổ phần
principal	hiệu trưởng
daughter	con gái
standing	đứng
voyeur	người thích xem hình ảnh liên quan đến tình dục
comfort	an ủi
colors	màu sắc
wars	chiến tranh
ordering	đặt hàng
kept	đã giữ
alpha	alpha
appeal	bắt mắt
cruise	du thuyền
bonus	thưởng
certification	chứng nhận
previously	trước đây
hey	Chào
bookmark	đánh dấu trang
buildings	các tòa nhà
specials	đặc biệt
beat	tiết tấu
household	hộ gia đình
batteries	pin
smoking	hút thuốc
becomes	trở thành
drives	ổ đĩa
arms	cánh tay
tea	trà
improved	được cải thiện
trees	cây
average	trung bình
achieve	đạt được
positions	chức vụ
dress	đầm
subscription	đăng ký
dealer	người buôn bán
contemporary	đồng thời
sky	bầu trời
nearby	gần đó
carried	mang theo
happen	xảy ra
exposure	phơi bày
hide	trốn
permalink	liên kết cố định
signature	chữ ký
gambling	bài bạc
refer	tham khảo
miller	cối xay
provision	sự cung cấp
outdoors	ngoài trời
clothes	quần áo
caused	gây ra
luxury	sang trọng
babes	em yêu
frames	khung
certainly	chắc chắn
indeed	thực vậy
newspaper	báo
toy	đồ chơi
circuit	mạch điện
layer	lớp
printed	in
slow	chậm
removal	gỡ bỏ
easier	dễ dàng hơn
liability	trách nhiệm pháp lý
trademark	Nhãn hiệu
hip	hông
printers	máy in
faqs	câu hỏi thường gặp
nine	chín
adding	thêm
mostly	hầu hết
spot	điểm
trackback	theo dõi lại
prints	bản in
spend	tiêu
factory	nhà máy
interior	Nội địa
revised	sửa lại
grow	phát triển
americans	người Mỹ
optical	quang học
promotion	khuyến mãi
relative	liên quan đến
amazing	tuyệt vời
clock	cái đồng hồ
dot	dấu chấm
hiv	HIV
identity	danh tính
suites	dãy phòng
conversion	chuyển đổi
feeling	cảm giác
hidden	ẩn giấu
reasonable	hợp lý
serial	nối tiếp
relief	sự cứu tế
revision	ôn tập
broadband	băng thông rộng
influence	ảnh hưởng
ratio	tỉ lệ
importance	tầm quan trọng
rain	cơn mưa
onto	trên
planet	hành tinh
webmaster	quản trị trang web
copies	bản sao
recipe	công thức
permit	cho phép làm gì
seeing	nhìn thấy
proof	bằng chứng
dna	dna
diff	khác biệt
tennis	quần vợt
bass	âm trầm
prescription	đơn thuốc
bedroom	phòng ngủ
empty	trống
instance	ví dụ
hole	hố
pets	vật nuôi
ride	lái
licensed	được cấp phép
specifically	đặc biệt
bureau	văn phòng
represent	đại diện
conservation	bảo tồn
pair	đôi
ideal	lý tưởng
specs	thông số kỹ thuật
recorded	ghi lại
don	giảng viên đại học
pieces	miếng
finished	hoàn thành
parks	công viên
dinner	bữa tối
lawyers	luật sư
sydney	Sydney
stress	nhấn mạnh
cream	kem
runs	chạy
trends	xu hướng
yeah	vâng
discover	phát hiện
sex	tình dục
ap	ap
patterns	hoa văn
boxes	hộp
hills	Đồi
javascript	javascript
fourth	thứ tư
nm	bước sóng
advisor	cố vấn
marketplace	thương trường
evil	độc ác
aware	nhận thức
shape	hình dạng
evolution	sự tiến hóa
certificates	giấy chứng nhận
objectives	mục tiêu
stations	trạm
suggested	đề xuất
gps	gps
remains	còn lại
acc	tài khoản
greatest	vĩ đại nhất
firms	hãng
concerned	lo âu
euro	euro
operator	nhà điều hành
structures	cấu trúc
generic	chung
encyclopedia	bách khoa toàn thư
usage	cách sử dụng
cap	mũ lưỡi trai
ink	mực
charts	biểu đồ
continuing	tiếp tục
mixed	Trộn
census	điều tra dân số
interracial	đa chủng tộc
peak	đỉnh cao
competitive	cạnh tranh
exist	hiện hữu
wheel	bánh xe
transit	quá cảnh
dick	tinh ranh
suppliers	các nhà cung cấp
salt	muối
compact	gọn nhẹ
poetry	thơ
lights	đèn
tracking	theo dõi
angel	thiên thần
bell	chuông
keeping	duy trì
preparation	sự chuẩn bị
attempt	nỗ lực
receiving	nhận được
matches	diêm
accordance	Tùy theo
width	chiều rộng
noise	tiếng ồn
engines	động cơ
forget	quên
array	mảng
discussed	thảo luận
accurate	chính xác
climate	khí hậu
reservations	đặt chỗ
pin	ghim
playstation	máy chơi game
alcohol	rượu bia
greek	người Hy Lạp
instruction	chỉ dẫn
managing	quản lý
annotation	chú thích
sister	em gái
raw	thô
differences	sự khác biệt
walking	đi dạo
explain	giải thích
smaller	nhỏ hơn
newest	mới nhất
establish	thành lập
happened	đã xảy ra
expressed	bày tỏ
extent	phạm vi
sharp	sắc
lesbians	đồng tính nữ
ben	ben
lane	làn đường
paragraph	đoạn văn
kill	giết
mathematics	toán học
compensation	đền bù
export	xuất khẩu
managers	người quản lý
aircraft	phi cơ
modules	mô-đun
conflict	xung đột
conducted	tiến hành
versions	phiên bản
employer	nhà tuyển dụng
occur	xảy ra
percentage	phần trăm
knows	biết
describe	mô tả
concern	bận tâm
backup	hỗ trợ
requested	yêu cầu
citizens	công dân
heritage	di sản
personals	cá nhân
immediate	ngay tức khắc
holding	giữ
trouble	rắc rối
spread	lây lan
coach	huấn luyện viên
agricultural	nông nghiệp
expand	mở rộng
supporting	hỗ trợ
audience	khán giả
assigned	giao
collections	bộ sưu tập
ages	lứa tuổi
participate	tham gia
plug	phích cắm
specialist	chuyên gia
cook	đầu bếp
affect	ảnh hưởng
virgin	trinh nữ
experienced	có kinh nghiệm
investigation	cuộc điều tra
raised	nâng lên
hat	mũ
institution	tổ chức
directed	Chỉ đạo
dealers	đại lý
searching	đang tìm kiếm
sporting	thể thao
helping	giúp đỡ
affected	ảnh hưởng
bike	xe đạp
totally	Tổng cộng
plate	đĩa
expenses	chi phí
indicate	biểu thị
blonde	vàng
ab	bụng
proceedings	thủ tục tố tụng
favourite	yêu thích
transmission	quá trình lây truyền
characteristics	đặc trưng
lose	thua
organic	hữu cơ
seek	tìm kiếm
experiences	kinh nghiệm
albums	tập ảnh
cheats	gian lận
extremely	vô cùng
contracts	hợp đồng
guests	khách
hosted	được lưu trữ
diseases	bệnh tật
concerning	liên quan đến
developers	nhà phát triển
equivalent	tương đương
chemistry	hoá học
neighborhood	hàng xóm
kits	bộ dụng cụ
thailand	nước Thái Lan
variables	biến
agenda	chương trình nghị sự
anyway	Dẫu sao thì
continues	tiếp tục
tracks	bài hát
advisory	tham mưu
cam	máy quay
curriculum	chương trình giảng dạy
logic	Hợp lý
template	bản mẫu
prince	Hoàng tử
circle	vòng tròn
soil	đất
grants	tài trợ
anywhere	bất cứ nơi nào
psychology	tâm lý
responses	phản hồi
atlantic	Đại Tây Dương
wet	ướt
circumstances	trường hợp
investor	nhà đầu tư
identification	nhận biết
ram	đập
leaving	rời đi
wildlife	động vật hoang dã
appliances	thiết bị
matt	mờ
elementary	tiểu học
cooking	nấu nướng
speaking	nói
sponsors	nhà tài trợ
fox	cáo
unlimited	vô hạn
respond	trả lời
sizes	kích cỡ
plain	đơn giản
exit	lối ra
entered	đã nhập
arm	cánh tay
keys	phím
launch	phóng
wave	sóng
checking	kiểm tra
printable	có thể in được
holy	thánh thiện
acts	hành vi
guidance	hướng dẫn
mesh	lưới thép
trail	dấu vết
enforcement	thực thi
symbol	biểu tượng
crafts	đồ thủ công
highway	Xa lộ
buddy	bạn bè
hardcover	bìa cứng
observed	Được Quan sát
dean	trưởng khoa
setup	cài đặt
poll	thăm dò ý kiến
booking	Đặt trước
glossary	bảng chú giải
fiscal	ngân sách
celebrity	người nổi tiếng
styles	phong cách
filled	điền
bond	liên kết
channels	kênh truyền hình
appendix	ruột thừa
notify	thông báo
chocolate	sô cô la
pub	quán rượu
portion	phần
scope	phạm vi
supplier	nhà cung cấp
cables	cáp
cotton	bông
bluetooth	Bluetooth
controlled	được kiểm soát
requirement	yêu cầu
authorities	chính quyền
biology	sinh vật học
dental	nha khoa
killed	bị giết
border	ranh giới
ancient	cổ đại
debate	tranh luận
representatives	đại diện
starts	bắt đầu
pregnancy	thai kỳ
causes	nguyên nhân
biography	tiểu sử
leisure	thời gian rảnh rỗi
attractions	điểm tham quan
learned	đã học
transactions	giao dịch
notebook	sổ tay
explorer	nhà thám hiểm
historic	mang tính lịch sử
attached	đính kèm
opened	đã mở
husband	chồng
disabled	tàn tật
authorized	được ủy quyền
crazy	điên
upcoming	sắp tới
britain	nước Anh
concert	buổi hòa nhạc
retirement	sự nghỉ hưu
scores	điểm số
financing	tài chính
efficiency	hiệu quả
comedy	hài kịch
adopted	con nuôi
efficient	có hiệu quả
weblog	nhật ký web
linear	tuyến tính
commitment	sự cam kết
specialty	chuyên môn
bears	gấu
jean	quần jean
hop	nhảy lò cò
carrier	vận chuyển
edited	đã chỉnh sửa
constant	không thay đổi
visa	hộ chiếu
mouth	miệng
meter	mét
linked	liên kết
interviews	phỏng vấn
concepts	các khái niệm
gun	súng
reflect	phản ánh
pure	nguyên chất
deliver	giao
wonder	thắc mắc
hell	địa ngục
lessons	Những bài học
fruit	hoa quả
begins	bắt đầu
qualified	đạt tiêu chuẩn
reform	cải cách
lens	ống kính
alerts	cảnh báo
treated	được điều trị
discovery	khám phá
draw	vẽ tranh
classified	phân loại
relating	liên quan
assume	cho rằng
confidence	sự tự tin
alliance	liên minh
confirm	xác nhận
warm	ấm
neither	không
offline	ngoại tuyến
leaves	lá
engineer	kỹ sư
lifestyle	cách sống
consistent	nhất quán
replace	thay thế
clearance	giải tỏa
connections	kết nối
inventory	hàng tồn kho
converter	bộ chuyển đổi
suck	hút
organisation	tổ chức
babe	em yêu
reached	đạt
becoming	trở thành
blowjob	thổi kèn
safari	cuộc đi săn
objective	khách quan
indicated	chỉ ra
sugar	đường
crew	phi hành đoàn
legs	chân
stick	dán
securities	chứng khoán
relation	mối quan hệ
enabled	đã bật
genre	thể loại
slide	cầu trượt
volunteer	tình nguyện viên
tested	thử nghiệm
